Species,Ave FLW w/o petiole (g),Ave FLW (g),Ave DLW w/o Petiole (g),Ave DLW (g),Ave LWF,Ave Leaf Length (mm),Ave Leaf Width (mm),Ave Petiol Length (mm),Ave Area (mm^2),Ave Perimeter (mm),Ave SLA (cm^2/g)
Erigeron strigosus,0.02,0.02,0.01,0.01,0.79,24.85,4.63,0,120.93,62.95,208.55
Euphorbia corollata,0.05,0.05,0.02,0.02,0.71,33.34,11.1,0,313.93,95.3,192.06
Fragaria virginiana,0.23,0.29,0.07,0.09,0.69,56.43,55.53,62.37,1544.31,289.08,203.59
Fraxinus virginiana,0,0,0.03,0.03,0,0,0,0,490.72,0,153.91
Galium boreale,0.01,0.01,0,0,0.72,24.42,4.68,0,85.57,58.7,256.32
Hedeoma hispidum,0,0,0,0,0,0,0,0,20.96,0,209.6
Helianthemum bicknellii,0.02,0.02,0.01,0.01,0.65,17.37,5.47,2.73,65.41,41.05,139.59
Helianthus giganteus,0.22,0.22,0.05,0.05,0.78,73.84,18.04,5.8,891.83,173.72,185.35
Helianthus laetiflorus,0.41,0.42,0.09,0.09,0.77,93.43,17.82,9.53,1029.67,221.5,112.69
Hieracium longipilium,0.59,0.59,0.13,0.13,0.8,119.18,21.01,0,1565.46,293.36,134.8
Koeleria cristata,0.11,0.11,0.05,0.05,0.57,138.28,4.58,0,389.01,324.19,85.53
Lactuca canadensis,0.75,0.86,0.11,0.13,0.85,147.35,63.25,51.22,3680.97,696.13,365.83
Lathyrus venosus,0.35,0.36,0.1,0.1,0.71,64.61,62.17,8.31,1770.64,568.59,197.16
Lechea stricta,0.02,0.02,0,0,0.77,14.72,1.94,0,23.39,33.53,116.96
Lepidium cognatum,0,0,0.01,0.01,0,0,0,0,247.13,0,271.89
Leptoloma cognatum,0.04,0.04,0.01,0.01,0.7,81,3.11,0,258.01,179.33,231.04
Lespedeza capitata,0.12,0.12,0.03,0.03,0.64,36.7,41.03,4.27,339.29,185.65,134.41
Liatris aspera,0.04,0.04,0.01,0.01,0.75,27.96,3.04,0,68.03,61.87,87.12
Lithospermum canescens,0.14,0.14,0.03,0.03,0.78,66.31,14.89,0,700.23,147.33,172.45
Lithospermum caroliniense,0.09,0.09,0.02,0.02,0.74,40.37,10.39,0,292.07,94.9,149.06
Lobelia spicata,0.07,0.07,0.02,0.02,0.78,34.82,13.4,0,334.92,85.96,223.28
Lychnis alba,0.13,0.13,0.03,0.03,0.89,49.34,12.7,0,580.93,127.9,241.75
Maianthemum canadense,0.24,0.3,0.03,0.04,0.85,59.91,29.45,44.2,1303.36,155.3,384.97
Mirabilis hirsuta,0.26,0.26,0.03,0.04,0.87,0,0,0,0,0,0
Monarda fistulosa,0.14,0.14,0.04,0.04,0.77,49.38,22.51,6.69,682.48,138.4,191.25
Oenothera biennis,0.16,0.16,0.03,0.03,0.78,56.42,11.43,0,440.72,132.65,131.67
Oxybaphus hirsutus,0.1,0.1,0.01,0.01,0.87,54.45,11.41,3.47,457.4,130.4,197.81
Panicum capillare,0.24,0.24,0.09,0.09,0.68,177,11.19,0,1365.36,408.28,165.95
Panicum oligosanthes,0.05,0.05,0.02,0.02,0.7,52.44,7.33,0,304.61,116.98,205.06
Panicum perlongum,0.11,0.11,0.03,0.03,0.72,135.87,2.96,0,346.27,311.9,134.26
Panicum praecocius,0.05,0.05,0.01,0.01,0.71,61.61,6.91,0,331.7,144.69,280.86
