site,ACENEG,ACHMIL,ACTPAC,ACTRUB,AGRGRY,AGRREP,AGRTRA,ALLCER,AMBART,AMBPSI,AMESPP,AMOCAN,AMOFRU,AMPBRA,ANDGER,ANECYL,ANEQUI,ANEVIR,ANTSPP,APIAME,APOAND,APOCAN,AQUCAN,ARBLYR,ARANUD,ARCUVA,ARITRI,AROMEL,ARTCAM,ARTFRI,ASCAMP,ASCEXA,ASCSYR,ASCTUB,ASCVER,ASCVIR,ASPOFF,SYMOOL,SYMERI,SYMLAE,SYMLAT,IONLIN,SYMMAC,SYMNOV,SYMOBL,SYMSER,SYMSHO,SYMURO,ASTCAN,ATHFIL,AURFLA,AURGRA,AURSPP,BAPLAC,BAPLEU,BESBUL,BIDSPP,BLECIL,BOTMUL,BOTVIR,BOUCUR,BOUHIR,BRIEUP,BROKAL,CACPLA,CALCAN,CALSEP,CAMAME,CAMROT,CARCEP,CARCON,CARLAX,CARMUH,CARPAU,CARPEN,CARSPP,CAROVA,CASFAS,CASSES,CEAAME,CELSCAN,CHIUMB,CIRLUT,CIRALT,CIRCAN,CIRDIS,CLEVIR,COMUMB,CORPAL,CORALT,CORRAC,CORRUG,CORSEM,CORAME,CRASPP,CRYCAN,CYPSPP,CYPSPP,CYSFAG,DALCAN,DALPUR,DANSPI,DESCAN,DESGLU,DESILL,DICACU,DICLAT,DICLEI,DICLIN,DICOLI,DIELON,DIGCOG,DIOVIL,DODMEA,DRYMAR,ELYCAN,ELYVIL,EQULAE,EREHIE,ERIPHI,ERIPUL,ERISTR,ERYYUC,EUPPER,EUPRUG,EUPCOR,EUTGRA,FRAVIR,GALAPA,GALBOR,GALCON,GALTRI,GAYBAC,GENAND,GENPUB,GERMAC,GEUALE,GEUCAN,GETRI,GLYSTR,GNAOBT,HEDHIS,HELCAN,HELSPP,HELGRO,HELOCC,HELRIG,HELSTR,HELHEL,HEPNOB,HEURIC,HIELON,HYPHIR,HYSPAT,JUNHOR,JUNVIR,KOECRI,KRIBIF,LACBIE,LACCAN,LACLUD,LATOCH,LATPAL,LATVEN,LECTEN,LESCAP,LIAASP,LIACYL,LIAPYC,LIASPI,LILPHI,LILSUP,LINSUL,LIPLIL,LITCAN,LITCAR,LITINC,LOBSPI,LONDIO,LONOBL,LONPRO,LUPPER,LUZCAM,LYSCIL,LYSLAN,LYSQUA,LYSQUD,MAICAN,MALLOE,MELALB,MINMIC,MOELAT,MONFIS,MONPUN,MONUNI,MUHCUS,MUHFRO,MUHRAC,MYRGAL,OENBIE,OENFRU,OPUHUM,OROUNI,OSMCLA,OSMLON,OSUCLA,OXAVIO,OXYRIG,PANTRI,PANVIR,PARPEN,PARQUI,PEDCAN,PELATR,PENGRA,PENSED,PHLPRA,PHLPIL,PHRLEP,PHYHET,PHYVIR,PHYOPU,POACOM,POAPRA,PODPEL,POLPOL,POLSAN,POLSEN,POLVER,POLBIF,POLPUB,POLCON,POLVIR,POLSPP,POPTRE,POTARG,POTCAN,POTSIM,PREALB,PRERAC,PRUVUL,PRUPUM,PRUSER,PRUVIR,PTEAQU,PULPAT,PYCVIR,PYRAME,PYRELL,QUEALB,QUEMAC,QUEVEL,RANABO,RANFAS,RATPIN,RHUGLA,RHUTYP,RIBCYN,ROSSPP,RUBALL,RUBHIS,RUBIDE,RUBSPP,RUDHIR,RUDSUB,RUMACE,SALHUM,SALSPP,SAMCAN,SANCAN,SANGRE,SANMAR,SAXPEN,SCHSCO,SCRLAN,SCUPAR,SELRUP,SENAUR,SILANT,SILSTE,SILINT,SILLAC,SILTER,SISCAM,SIUSUA,SMIRAC,SMISTE,SMIECI,SMIHER,SOLDUL,SOLCAN,SOLFLE,SOLGIG,SOLJUN,SOLMIS,SOLNEM,SOLPTA,SOLRIG,SOLSPE,SOLULM,SORNUT,SPAPEC,SPOCRY,SPOHET,SPOVAG,STATRI,STISPA,SYMOCC,TAEINT,TALRUG,TAROFF,TARSPP,TEPVIR,THADAS,THADIO,TOXRAD,TRAOHI,TRASPP,TRIBOR,TRIGRA,TRIPER,TRIPEF,UVUGRA,VACANG,VALEDU,VERSTR,VERVIR,VIBRAF,VICAME,VICCAR,VICSAT,VIOCON,VIOOBL,VIOPED,VIOPAA,VIOPUB,VIOSAG,VITRIP,WOOILV,ZANAME,ZIGELE,ZIZAPT,ZIZAUR
1188_1950,0,0,0,0,0,0,0,0,0,0,0,45,0,50,45,5,0,0,5,0,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,5,1,0,0,0,0,0,15,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,30,30,0,0,0,25,0,0,5,0,0,0,0,5,50,0,50,0,0,45,0,0,0,1,0,10,5,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,50,0,30,0,45,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,15,0,10,85,0,0,0,0,0,0,0,5,15,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,35,0,0,0,0,0,1,0,0,0,0,0,0,0,15,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,75,10,0,0,0,5,0,0,0,20,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,5,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,5,0,0,0,5,0,0,0,0,5
1189_1950,0,0,0,0,0,0,0,0,0,0,5,0,0,80,50,40,5,0,20,0,35,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,30,0,0,0,0,0,20,20,0,0,0,5,0,0,5,0,0,0,0,5,0,0,20,0,0,1,0,0,0,0,0,30,20,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,5,0,45,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,5,0,0,0,0,65,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,20,10,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,50,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,10,0,0,0,0,0
1190_1950,0,0,0,0,0,0,0,0,0,0,0,30,0,5,25,5,0,0,0,0,40,0,0,0,0,0,0,0,15,1,0,0,5,0,1,0,0,0,15,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,60,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,15,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,5,0,0,75,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,25,0,1,0,0,0
1191_1950,0,0,0,0,0,0,0,0,15,0,0,15,0,45,0,0,0,0,1,0,5,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10,60,0,0,0,0,0,0,5,5,0,80,0,0,80,0,0,0,0,0,1,1,0,0,45,5,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,25,0,55,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,5,0,0,25,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,15,0,0,35,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,5,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
1192_1950,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45,70,0,0,50,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,35,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,20,0,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,0,15,20,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,15,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,55,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
1193_1950,0,0,0,0,0,0,0,0,0,0,0,45,0,85,5,30,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0,0,0,0,0,10,5,0,25,0,0,80,0,0,0,0,0,1,1,0,0,65,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,55,0,80,55,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,1,25,70,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,5,5,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,25,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,1,1,0,20,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0
1194_1950,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0,0,0,30,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,0,40,20,0,10,0,0,0,0,0,0,50,0,0,10,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,60,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,20,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,30,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,30,0,20,0,0,0,0,0,0,0,0,0,0,30,20,0,0,20,0,0,20,0,0,30,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,10,0,0,0,0,0
1195_1950,0,0,0,0,0,0,0,0,0,0,0,15,0,80,25,0,0,0,0,0,20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,45,0,0,10,0,20,50,0,0,0,0,0,0,20,15,0,15,0,0,0,0,0,0,0,0,5,0,0,0,30,0,0,5,0,0,0,35,0,5,0,0,0,0,0,0,0,0,0,0,0,25,35,0,0,0,50,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,5,0,75,0,0,0,0,0,0,0,30,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
1196_1950,0,0,0,0,0,0,0,0,5,0,0,0,0,90,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,10,10,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,60,5,0,0,0,0,0,0,0,50,0,0,0,30,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,10,0,0,0,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,5,0,0,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,30,0,0,0,0,0,0,0,0,0
1206_1950,0,0,35,10,5,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,10,0,15,0,70,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,10,0,20,0,0,0,0,0,0,0,85,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,25,85,0,0,0,0,50,5,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,85,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,5,35,0,0,0,0,35,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,35
1207_1950,0,0,0,0,0,20,0,0,0,0,0,50,0,0,0,80,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,40,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,0,0,25,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,30,0,0,0,10,0,0,10,0,40,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,30,0,0,0,0,0,0,0,0,45,20,10,0,0,0,10,0,5,0,0,0,5,0,0,0,0,0,65,0,0,0,0,0,20,0,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,80,0,0,0,0,15,0,0,0,15,0,0,0,95,0,0,0,0,0,0,0,0,25,0,65,0,0,0,55,0,0,0,0,0,0,20,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,40,0,15,0,0,0,0,0,10,20,5
1208_1950,0,0,0,0,0,20,0,0,0,0,0,100,0,0,10,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,5,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,15,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
